Fecha,Clics,Impresiones,CTR,Posición
2026-06-10,4,8,50%,1
2026-06-11,0,7,0%,4
2026-06-12,3,8,37.5%,4.4
2026-06-13,0,5,0%,6.4
2026-06-14,0,2,0%,5.5
2026-06-15,4,16,25%,5.2
2026-06-16,5,15,33.33%,6.4
2026-06-17,9,16,56.25%,3.1
2026-06-18,2,8,25%,5.1
2026-06-19,2,11,18.18%,6.1
2026-06-20,2,3,66.67%,1
2026-06-21,1,5,20%,4
2026-06-22,1,5,20%,7.8
2026-06-23,10,12,83.33%,1.1
2026-06-24,3,6,50%,3.2
2026-06-25,1,4,25%,1
2026-06-26,2,6,33.33%,2.2
2026-06-27,6,7,85.71%,2.3
2026-06-28,1,2,50%,1
2026-06-29,5,9,55.56%,2.4
2026-06-30,4,6,66.67%,13.3
2026-07-01,1,5,20%,10.2
2026-07-02,5,9,55.56%,1
2026-07-03,3,4,75%,1.5
2026-07-04,0,1,0%,10
2026-07-05,3,5,60%,3.2
2026-07-06,0,1,0%,7
2026-07-07,2,8,25%,15.1
2026-07-08,0,5,0%,5.6
2026-07-09,0,5,0%,2.8
2026-07-10,1,2,50%,6.5
2026-07-11,0,3,0%,3.3
2026-07-12,0,4,0%,1.5
2026-07-13,0,1,0%,35
2026-07-14,0,5,0%,5
2026-07-15,0,2,0%,1.5
2026-07-16,0,2,0%,2.5
2026-07-17,0,0,,
2026-07-18,0,2,0%,1
2026-07-19,0,5,0%,4.2
2026-07-20,0,1,0%,1
2026-07-21,4,7,57.14%,1.7
2026-07-22,1,1,100%,1
2026-07-23,2,4,50%,3.2
2026-07-24,0,0,,
2026-07-25,1,2,50%,6
2026-07-26,0,0,,
2026-07-27,0,0,,
2026-07-28,0,0,,
2026-07-29,0,1,0%,1
2026-07-30,0,1,0%,35
2026-07-31,0,0,,
2026-08-01,0,1,0%,15
2026-08-02,0,0,,
2026-08-03,0,1,0%,2
2026-08-04,1,2,50%,8.5
2026-08-05,0,4,0%,8
2026-08-06,0,3,0%,3
2026-08-07,0,1,0%,10
2026-08-08,0,1,0%,1
2026-08-09,0,0,,
2026-08-10,0,3,0%,5.7
2026-08-11,0,1,0%,5
2026-08-12,0,1,0%,3
2026-08-13,0,1,0%,8
2026-08-14,0,0,,
2026-08-15,0,4,0%,6.8
2026-08-16,0,7,0%,8.7
2026-08-17,0,1,0%,6
2026-08-18,0,1,0%,4
