ID,Severity,Category,Component,File:Line,Description,Status,RootCause,FixScope,Notes
OD-FOCUS-001,P3,Accessibility,Global Focus,atlantis.css:79,`:focus{outline:0!important}` still suppresses mouse focus globally,PARTIALLY-RESOLVED,Atlantis base theme suppresses all focus indicators,Tuki override layer,"`:focus-visible` added at line 87 — keyboard works, mouse doesn't. Consider removing `outline:0` from `:focus` entirely."
OD-THEME-001,P2,Theme,Toggle persistence,layout.blade.php:86-98,Theme toggle updates DOM+localStorage but NOT DB (organizers.theme_version),OPEN,Toggle JS doesn't call API endpoint,Dashboard JS + OrganizerController,"Next page load from different browser reverts theme."
OD-THEME-002,P3,Theme,API persistence,OrganizerController@changeTheme,POST change-theme updates DB but NOT html[data-theme] or localStorage,OPEN,API response doesn't push state to client,Dashboard JS,"Rare path — admin changes theme via API."
OD-THEME-003,P3,Theme,FOUC,layout.blade.php:8-22,Default `data-theme="light"` may flash before localStorage script runs,OPEN,No blocking inline style for dark bg,Layout HTML,"~10ms flash. Barely noticeable."
OD-CSS-001,P3,Performance,CSS waste,styles.blade.php,222 KB CSS loaded but not used on dashboard (select2 datatables dropzone etc),OPEN,Global CSS loading for all admin pages,Styles partial,"No per-page conditional loading."
OD-CSS-002,P3,Performance,JS waste,scripts.blade.php,627 KB JS loaded but not used on dashboard (select2 datatables vue tinymce etc),OPEN,Global JS loading for all admin pages,Scripts partial,"No per-page conditional loading."
OD-CSS-003,P3,Performance,Font redundancy,styles.blade.php,Both FA5 (fonts.min.css) and FA6 (app.css) may be loaded,OPEN,Font Awesome migration incomplete,Font loading,"Verify if FA5 is actually needed."
OD-CASCADE-001,P3,Architecture,Token gaps,admin-skin.css,Light mode `--adm-*` tokens not defined on `:root` — relies on hardcoded values in component rules,OPEN,Incomplete token migration,admin-skin.css,"Dark mode has proper tokens; light mode doesn't."
OD-I18N-001,P4,i18n,Route typos,organizer_support.php,Route URI `support-tikcet` is a typo (should be `support-ticket`),OPEN,Original developer typo,Route files,"Documented but not fixed — would break existing links."
OD-I18N-002,P4,i18n,Route typos,organizer_dashboard.php,Route name `organizer.transcation` is a typo (should be `transaction`),OPEN,Original developer typo,Route files,"Persistent across codebase."
OD-I18N-003,P4,i18n,Route typos,organizer_finance.php,Route name `organizer.witdraw` is a typo (should be `withdraw`),OPEN,Original developer typo,Route files,"Persistent."
OD-A11Y-001,P2,Accessibility,Focus on accordions,admin-skin.css:175,`.ev-accordion-btn{outline:none!important}` suppresses focus on accordion buttons,OPEN,Redundant with atlantis.css:79,admin-skin.css,"Specific component focus suppression."
