Páginas principales,Clics,Impresiones,CTR,Posición
https://www.tukipass.com/,76,176,43.18%,4.48
https://www.tukipass.com/sobre-nosotros,8,127,6.3%,2.54
https://www.tukipass.com/eventos,4,101,3.96%,5.08
https://www.tukipass.com/preguntas-frecuentes,3,118,2.54%,1.86
https://www.tukipass.com/blog,0,60,0%,1.67
https://www.tukipass.com/recuperar-contrasena,0,18,0%,2.22
https://www.tukipass.com/minitk-dosmilera-en-la-troja-rumba-2000-en-buenos-aires/124,0,12,0%,6.83
https://www.tukipass.com/organizer/details/1/admin?admin=true,0,6,0%,6.83
https://www.tukipass.com/blog/morbi-in-sem-quis-dui-placerat-ornare.-pellentesque-odio-nisi,0,2,0%,3.5
https://www.tukipass.com/organizer/details/29/Rumba-Colombiana,0,1,0%,7
