url,http_status,final_url,robots_allowed,canonical,meta_robots,title,h1,meta_description,word_count,jsonld_types,googlebot_status,outlinks
/,200,https://www.tukipass.com/,True,https://www.tukipass.com,"index,follow,max-image-preview:large",Entradas y Tickets Online para Eventos en Argentina | Tukipass.com,Reservá entradas para vivir lo que viene,Home Description,218,Organization|WebSite,200,https://www.tukipass.com;https://www.tukipass.com/blog;https://www.tukipass.com/contacto;https://www.tukipass.com/defensa-al-consumidor;https://www.tukipass.com/eliminacion-de-datos;https://www.tukipass.com/eventos;https://www.tukipass.com/eventos?category=conciertos-y-musica;https://www.tukipass.com/eventos?category=conferencias;https://www.tukipass.com/eventos?category=deportes;https://www.tukipass.com/eventos?category=teatro-y-shows;https://www.tukipass.com/eventos?dates=2026-08-21%20to%202026-08-21;https://www.tukipass.com/eventos?dates=2026-08-28%20to%202026-08-30;https://www.tukipass.com/eventos?pricing=free;https://www.tukipass.com/eventos?pricing=paid;https://www.tukipass.com/login;https://www.tukipass.com/organizadores;https://www.tukipass.com/politica-de-cookies;https://www.tukipass.com/politica-de-privacidad;https://www.tukipass.com/politica-de-reembolsos;https://www.tukipass.com/preguntas-frecuentes;https://www.tukipass.com/registro;https://www.tukipass.com/sobre-nosotros;https://www.tukipass.com/terminos-y-condiciones
/eventos,200,https://www.tukipass.com/eventos,True,https://www.tukipass.com/eventos,"index,follow,max-image-preview:large",Eventos en Argentina · Entradas y Tickets Online | Tukipass.com,Eventos para elegirsin perder tiempo,Event  Description,238,Organization|WebSite,200,https://www.tukipass.com;https://www.tukipass.com/blog;https://www.tukipass.com/contacto;https://www.tukipass.com/defensa-al-consumidor;https://www.tukipass.com/eliminacion-de-datos;https://www.tukipass.com/eventos;https://www.tukipass.com/eventos?category=conciertos-y-musica;https://www.tukipass.com/eventos?category=conferencias;https://www.tukipass.com/eventos?category=deportes;https://www.tukipass.com/eventos?category=teatro-y-shows;https://www.tukipass.com/eventos?dates=2026-08-21%20a%202026-08-21;https://www.tukipass.com/eventos?dates=2026-08-28%20a%202026-08-30;https://www.tukipass.com/eventos?event=;https://www.tukipass.com/eventos?pricing=free;https://www.tukipass.com/eventos?pricing=paid;https://www.tukipass.com/login;https://www.tukipass.com/organizadores;https://www.tukipass.com/politica-de-cookies;https://www.tukipass.com/politica-de-privacidad;https://www.tukipass.com/politica-de-reembolsos;https://www.tukipass.com/preguntas-frecuentes;https://www.tukipass.com/registro;https://www.tukipass.com/sobre-nosotros;https://www.tukipass.com/terminos-y-condiciones
/blog,200,https://www.tukipass.com/blog,True,https://www.tukipass.com/blog,"index,follow,max-image-preview:large","Novedades
   | Tukipass.com",Novedades,Blog Description,172,Organization|WebSite|Blog,200,https://www.tukipass.com;https://www.tukipass.com/blog;https://www.tukipass.com/blog?category=business;https://www.tukipass.com/blog?category=conference;https://www.tukipass.com/blog?category=others;https://www.tukipass.com/blog?category=wedding;https://www.tukipass.com/contacto;https://www.tukipass.com/defensa-al-consumidor;https://www.tukipass.com/eliminacion-de-datos;https://www.tukipass.com/eventos;https://www.tukipass.com/login;https://www.tukipass.com/organizadores;https://www.tukipass.com/politica-de-cookies;https://www.tukipass.com/politica-de-privacidad;https://www.tukipass.com/politica-de-reembolsos;https://www.tukipass.com/preguntas-frecuentes;https://www.tukipass.com/registro;https://www.tukipass.com/sobre-nosotros;https://www.tukipass.com/terminos-y-condiciones
/organizadores,200,https://www.tukipass.com/organizadores,True,https://www.tukipass.com/organizadores,"index,follow,max-image-preview:large","Productores
   | Tukipass.com",,Organizer Description,493,Organization|WebSite,200,https://www.tukipass.com;https://www.tukipass.com/blog;https://www.tukipass.com/contacto;https://www.tukipass.com/defensa-al-consumidor;https://www.tukipass.com/eliminacion-de-datos;https://www.tukipass.com/eventos;https://www.tukipass.com/example.com;https://www.tukipass.com/login;https://www.tukipass.com/organizadores;https://www.tukipass.com/politica-de-cookies;https://www.tukipass.com/politica-de-privacidad;https://www.tukipass.com/politica-de-reembolsos;https://www.tukipass.com/preguntas-frecuentes;https://www.tukipass.com/registro;https://www.tukipass.com/sobre-nosotros;https://www.tukipass.com/terminos-y-condiciones
/sobre-nosotros,200,https://www.tukipass.com/sobre-nosotros,True,https://www.tukipass.com/sobre-nosotros,"index,follow,max-image-preview:large","Nosotros
   | Tukipass.com",Nosotros,about us descriptions,910,Organization|WebSite|BreadcrumbList,200,https://www.tukipass.com;https://www.tukipass.com/blog;https://www.tukipass.com/contacto;https://www.tukipass.com/defensa-al-consumidor;https://www.tukipass.com/eliminacion-de-datos;https://www.tukipass.com/eventos;https://www.tukipass.com/example.com;https://www.tukipass.com/login;https://www.tukipass.com/organizadores;https://www.tukipass.com/politica-de-cookies;https://www.tukipass.com/politica-de-privacidad;https://www.tukipass.com/politica-de-reembolsos;https://www.tukipass.com/preguntas-frecuentes;https://www.tukipass.com/registro;https://www.tukipass.com/sobre-nosotros;https://www.tukipass.com/terminos-y-condiciones
/contacto,200,https://www.tukipass.com/contacto,True,https://www.tukipass.com/contacto,"index,follow,max-image-preview:large","Contacto
 | Tukipass.com",,Contact Description,197,Organization|WebSite,200,https://www.tukipass.com;https://www.tukipass.com/blog;https://www.tukipass.com/contacto;https://www.tukipass.com/defensa-al-consumidor;https://www.tukipass.com/eliminacion-de-datos;https://www.tukipass.com/eventos;https://www.tukipass.com/login;https://www.tukipass.com/organizadores;https://www.tukipass.com/politica-de-cookies;https://www.tukipass.com/politica-de-privacidad;https://www.tukipass.com/politica-de-reembolsos;https://www.tukipass.com/preguntas-frecuentes;https://www.tukipass.com/registro;https://www.tukipass.com/sobre-nosotros;https://www.tukipass.com/terminos-y-condiciones
/preguntas-frecuentes,200,https://www.tukipass.com/preguntas-frecuentes,True,https://www.tukipass.com/preguntas-frecuentes,"index,follow,max-image-preview:large","Ayuda
   | Tukipass.com",Ayuda,FAQ Description,505,Organization|WebSite|BreadcrumbList|FAQPage,200,https://www.tukipass.com;https://www.tukipass.com/blog;https://www.tukipass.com/contacto;https://www.tukipass.com/defensa-al-consumidor;https://www.tukipass.com/eliminacion-de-datos;https://www.tukipass.com/eventos;https://www.tukipass.com/login;https://www.tukipass.com/organizadores;https://www.tukipass.com/politica-de-cookies;https://www.tukipass.com/politica-de-privacidad;https://www.tukipass.com/politica-de-reembolsos;https://www.tukipass.com/preguntas-frecuentes;https://www.tukipass.com/registro;https://www.tukipass.com/sobre-nosotros;https://www.tukipass.com/terminos-y-condiciones
/tienda,200,https://www.tukipass.com/,True,https://www.tukipass.com,"index,follow,max-image-preview:large",Entradas y Tickets Online para Eventos en Argentina | Tukipass.com,Reservá entradas para vivir lo que viene,Home Description,218,Organization|WebSite,200,https://www.tukipass.com;https://www.tukipass.com/blog;https://www.tukipass.com/contacto;https://www.tukipass.com/defensa-al-consumidor;https://www.tukipass.com/eliminacion-de-datos;https://www.tukipass.com/eventos;https://www.tukipass.com/eventos?category=conciertos-y-musica;https://www.tukipass.com/eventos?category=conferencias;https://www.tukipass.com/eventos?category=deportes;https://www.tukipass.com/eventos?category=teatro-y-shows;https://www.tukipass.com/eventos?dates=2026-08-21%20to%202026-08-21;https://www.tukipass.com/eventos?dates=2026-08-28%20to%202026-08-30;https://www.tukipass.com/eventos?pricing=free;https://www.tukipass.com/eventos?pricing=paid;https://www.tukipass.com/login;https://www.tukipass.com/organizadores;https://www.tukipass.com/politica-de-cookies;https://www.tukipass.com/politica-de-privacidad;https://www.tukipass.com/politica-de-reembolsos;https://www.tukipass.com/preguntas-frecuentes;https://www.tukipass.com/registro;https://www.tukipass.com/sobre-nosotros;https://www.tukipass.com/terminos-y-condiciones
/terminos-y-condiciones,200,https://www.tukipass.com/terminos-y-condiciones,True,https://www.tukipass.com/terminos-y-condiciones,"index,follow,max-image-preview:large","Términos y condiciones
 | Tukipass.com",Términos y condiciones,"Conocé los términos de uso de TukiPass, operada por TAYRONA - GROUP S.A.S., para compradores y organizadores.",1002,Organization|WebSite,200,https://www.tukipass.com;https://www.tukipass.com/blog;https://www.tukipass.com/contacto;https://www.tukipass.com/defensa-al-consumidor;https://www.tukipass.com/eliminacion-de-datos;https://www.tukipass.com/eventos;https://www.tukipass.com/login;https://www.tukipass.com/organizadores;https://www.tukipass.com/politica-de-cookies;https://www.tukipass.com/politica-de-privacidad;https://www.tukipass.com/politica-de-reembolsos;https://www.tukipass.com/preguntas-frecuentes;https://www.tukipass.com/registro;https://www.tukipass.com/sobre-nosotros;https://www.tukipass.com/terminos-y-condiciones
/politica-de-privacidad,200,https://www.tukipass.com/politica-de-privacidad,True,https://www.tukipass.com/politica-de-privacidad,"index,follow,max-image-preview:large","Política de privacidad
 | Tukipass.com",Política de privacidad,"Conocé cómo TukiPass, operada por TAYRONA - GROUP S.A.S., recopila, usa y protege tus datos personales.",1076,Organization|WebSite,200,https://www.tukipass.com;https://www.tukipass.com/blog;https://www.tukipass.com/contacto;https://www.tukipass.com/defensa-al-consumidor;https://www.tukipass.com/eliminacion-de-datos;https://www.tukipass.com/eventos;https://www.tukipass.com/login;https://www.tukipass.com/organizadores;https://www.tukipass.com/politica-de-cookies;https://www.tukipass.com/politica-de-privacidad;https://www.tukipass.com/politica-de-reembolsos;https://www.tukipass.com/preguntas-frecuentes;https://www.tukipass.com/registro;https://www.tukipass.com/sobre-nosotros;https://www.tukipass.com/terminos-y-condiciones
